,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
WIT/USDT,WIT/USDT,,,0.011413,0.009507,0.011207,,0.011409,,0.010647148560231825,,0.011312,0.011312,,,11.58,,3621795.128487,38561.790787725,"{'currency_pair': 'WIT_USDT', 'last': '0.011312', 'lowest_ask': '0.011409', 'highest_bid': '0.011207', 'change_percentage': '11.58', 'change_utc0': '11.81', 'change_utc8': '0.07', 'base_volume': '3621795.128487', 'quote_volume': '38561.790787725', 'high_24h': '0.011413', 'low_24h': '0.009507'}"
GMX/USDT,GMX/USDT,,,59.86,54.97,56.17,,56.19,,57.356436445778,,56.19,56.19,,,-2.73,,4860.03244118,278754.14183696,"{'currency_pair': 'GMX_USDT', 'last': '56.19', 'lowest_ask': '56.19', 'highest_bid': '56.17', 'change_percentage': '-2.73', 'change_utc0': '-4.51', 'change_utc8': '-0.86', 'base_volume': '4860.03244118', 'quote_volume': '278754.14183696', 'high_24h': '59.86', 'low_24h': '54.97'}"
LEMO/ETH,LEMO/ETH,,,5.448e-08,3.764e-08,3.816e-08,,3.996e-08,,4.2470189532e-08,,3.873e-08,3.873e-08,,,-11.29,,66240426.092788994,2.813243450866166,"{'currency_pair': 'LEMO_ETH', 'last': '0.00000003873', 'lowest_ask': '0.00000003996', 'highest_bid': '0.00000003816', 'change_percentage': '-11.29', 'change_utc0': '-14.18', 'change_utc8': '-6.67', 'base_volume': '66240426.092788994', 'quote_volume': '2.81324345086616619913', 'high_24h': '0.00000005448', 'low_24h': '0.00000003764'}"
CLH/USDT,CLH/USDT,,,0.004909,0.003989,0.004235,,0.004256,,0.004432076934711987,,0.004242,0.004242,,,-2.25,,10375349.057721,45984.345248311,"{'currency_pair': 'CLH_USDT', 'last': '0.004242', 'lowest_ask': '0.004256', 'highest_bid': '0.004235', 'change_percentage': '-2.25', 'change_utc0': '-8.22', 'change_utc8': '-3.74', 'base_volume': '10375349.057721', 'quote_volume': '45984.345248311', 'high_24h': '0.004909', 'low_24h': '0.003989'}"
ABT/ETH,ABT/ETH,,,0.00050606,0.00046152,0.00046584,,0.0004762,,0.000492601066697484,,0.00046926,0.00046926,,,-6.89,,11447.3559893867,5.638979771237724,"{'currency_pair': 'ABT_ETH', 'last': '0.00046926', 'lowest_ask': '0.0004762', 'highest_bid': '0.00046584', 'change_percentage': '-6.89', 'change_utc0': '-6.37', 'change_utc8': '-3.12', 'base_volume': '11447.3559893867', 'quote_volume': '5.638979771237724124', 'high_24h': '0.00050606', 'low_24h': '0.00046152'}"
OPUL/ETH,OPUL/ETH,,,3.723e-05,3.2303e-05,3.2082e-05,,3.2914e-05,,3.4757506646035e-05,,3.2379e-05,3.2379e-05,,,-8.29,,140033.12447374,4.8672022545610725,"{'currency_pair': 'OPUL_ETH', 'last': '0.000032379', 'lowest_ask': '0.000032914', 'highest_bid': '0.000032082', 'change_percentage': '-8.29', 'change_utc0': '-11.13', 'change_utc8': '-3.58', 'base_volume': '140033.12447374', 'quote_volume': '4.86720225456107239', 'high_24h': '0.00003723', 'low_24h': '0.000032303'}"
ARRR/USDT,ARRR/USDT,,,0.19729,0.14755,0.18171,,0.18293,,0.17753227579232572,,0.18242,0.18242,,,-2.78,,259109.12542987,46000.232716124,"{'currency_pair': 'ARRR_USDT', 'last': '0.18242', 'lowest_ask': '0.18293', 'highest_bid': '0.18171', 'change_percentage': '-2.78', 'change_utc0': '-2.11', 'change_utc8': '2.76', 'base_volume': '259109.12542987', 'quote_volume': '46000.232716124', 'high_24h': '0.19729', 'low_24h': '0.14755'}"
BMI/ETH,BMI/ETH,,,1.564e-06,1.436e-06,1.417e-06,,1.475e-06,,1.503609135592e-06,,1.455e-06,1.455e-06,,,-3.76,,2881631.5610507405,4.3328475406072195,"{'currency_pair': 'BMI_ETH', 'last': '0.000001455', 'lowest_ask': '0.000001475', 'highest_bid': '0.000001417', 'change_percentage': '-3.76', 'change_utc0': '-2.67', 'change_utc8': '-2.21', 'base_volume': '2881631.5610507406', 'quote_volume': '4.332847540607219361', 'high_24h': '0.000001564', 'low_24h': '0.000001436'}"
NBP/USDT,NBP/USDT,,,6e-05,5.612e-05,5.836e-05,,5.9e-05,,5.7866701031901e-05,,5.865e-05,5.865e-05,,,1.68,,378239340.48398,21887.46283429,"{'currency_pair': 'NBP_USDT', 'last': '0.00005865', 'lowest_ask': '0.000059', 'highest_bid': '0.00005836', 'change_percentage': '1.68', 'change_utc0': '0.92', 'change_utc8': '0.05', 'base_volume': '378239340.48398', 'quote_volume': '21887.46283429', 'high_24h': '0.00006', 'low_24h': '0.00005612'}"
SPURS/USDT,SPURS/USDT,,,3.424,3.323,3.312,,3.36,,3.357010146731863,,3.337,3.337,,,-1.85,,7554.02555774,25358.940446005,"{'currency_pair': 'SPURS_USDT', 'last': '3.337', 'lowest_ask': '3.36', 'highest_bid': '3.312', 'change_percentage': '-1.85', 'change_utc0': '-0.86', 'change_utc8': '-0.5', 'base_volume': '7554.02555774', 'quote_volume': '25358.940446005', 'high_24h': '3.424', 'low_24h': '3.323'}"
