,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
BLUR/USDT,BLUR/USDT,1709579696894,2024-03-04T19:14:56.894Z,0.735964,0.667299,0.686906,93.3,0.688513,210.1,0.699652159648056,0.7139,0.687899,0.687899,,-0.026001,-3.64,0.7008995,1788943.8,1251638.393159,"{'symbol': 'BLUR_USDT', 'last_price': '0.687899', 'quote_volume_24h': '1251638.393159', 'base_volume_24h': '1788943.8', 'high_24h': '0.735964', 'low_24h': '0.667299', 'open_24h': '0.713900', 'close_24h': '0.687899', 'best_ask': '0.688513', 'best_ask_size': '210.1', 'best_bid': '0.686906', 'best_bid_size': '93.3', 'fluctuation': '-0.0364', 'url': 'https://www.bitmart.com/trade?symbol=BLUR_USDT', 'timestamp': '1709579696894'}"
OM/USDT,OM/USDT,1709579683747,2024-03-04T19:14:43.747Z,0.377859,0.267601,0.331853,60.27,0.333096,60.04,0.3228602198182581,0.26829,0.332759,0.332759,,0.064469,24.03,0.3005245,1190472.54,384356.225952,"{'symbol': 'OM_USDT', 'last_price': '0.332759', 'quote_volume_24h': '384356.225952', 'base_volume_24h': '1190472.54', 'high_24h': '0.377859', 'low_24h': '0.267601', 'open_24h': '0.268290', 'close_24h': '0.332759', 'best_ask': '0.333096', 'best_ask_size': '60.04', 'best_bid': '0.331853', 'best_bid_size': '60.27', 'fluctuation': '+0.2403', 'url': 'https://www.bitmart.com/trade?symbol=OM_USDT', 'timestamp': '1709579683747'}"
TET/USDT,TET/USDT,1709579700892,2024-03-04T19:15:00.892Z,34.0,30.1559,32.249,0.1,32.3709,0.4,31.956253119079836,31.7468,32.3709,32.3709,,0.6241,1.97,32.05885,14780.0,472313.4211,"{'symbol': 'TET_USDT', 'last_price': '32.3709', 'quote_volume_24h': '472313.4211', 'base_volume_24h': '14780.0', 'high_24h': '34.0000', 'low_24h': '30.1559', 'open_24h': '31.7468', 'close_24h': '32.3709', 'best_ask': '32.3709', 'best_ask_size': '0.4', 'best_bid': '32.2490', 'best_bid_size': '0.1', 'fluctuation': '+0.0197', 'url': 'https://www.bitmart.com/trade?symbol=TET_USDT', 'timestamp': '1709579700892'}"
OMAX/USDT,OMAX/USDT,1709579654020,2024-03-04T19:14:14.020Z,0.002013,0.0015517,0.0019676,27426.0,0.0020039,22183.0,0.001980474296556748,0.0018419,0.00199,0.00199,,0.0001481,8.04,0.00191595,191898422.0,380049.8923208,"{'symbol': 'OMAX_USDT', 'last_price': '0.0019900', 'quote_volume_24h': '380049.8923208', 'base_volume_24h': '191898422', 'high_24h': '0.0020130', 'low_24h': '0.0015517', 'open_24h': '0.0018419', 'close_24h': '0.0019900', 'best_ask': '0.0020039', 'best_ask_size': '22183', 'best_bid': '0.0019676', 'best_bid_size': '27426', 'fluctuation': '+0.0804', 'url': 'https://www.bitmart.com/trade?symbol=OMAX_USDT', 'timestamp': '1709579654020'}"
RAKE/USDT,RAKE/USDT,1709579700746,2024-03-04T19:15:00.746Z,0.0001502,0.0001129,0.0001138,194376.1,0.0001152,103908.82,0.000115542227824088,0.000122,0.0001152,0.0001152,,-6.8e-06,-5.57,0.0001186,1682194412.9,194364.4900997,"{'symbol': 'RAKE_USDT', 'last_price': '0.0001152', 'quote_volume_24h': '194364.4900997', 'base_volume_24h': '1682194412.90', 'high_24h': '0.0001502', 'low_24h': '0.0001129', 'open_24h': '0.0001220', 'close_24h': '0.0001152', 'best_ask': '0.0001152', 'best_ask_size': '103908.82', 'best_bid': '0.0001138', 'best_bid_size': '194376.10', 'fluctuation': '-0.0557', 'url': 'https://www.bitmart.com/trade?symbol=RAKE_USDT', 'timestamp': '1709579700746'}"
EQ/USDT,EQ/USDT,1709579693018,2024-03-04T19:14:53.018Z,0.047,0.0419,0.0431,210.6,0.0437,805.6,0.0459119362359409,0.0464,0.0436,0.0436,,-0.0028,-6.03,0.045,2155170.2,98948.0368,"{'symbol': 'EQ_USDT', 'last_price': '0.0436', 'quote_volume_24h': '98948.0368', 'base_volume_24h': '2155170.2', 'high_24h': '0.0470', 'low_24h': '0.0419', 'open_24h': '0.0464', 'close_24h': '0.0436', 'best_ask': '0.0437', 'best_ask_size': '805.6', 'best_bid': '0.0431', 'best_bid_size': '210.6', 'fluctuation': '-0.0603', 'url': 'https://www.bitmart.com/trade?symbol=EQ_USDT', 'timestamp': '1709579693018'}"
ETHS/USDT,ETHS/USDT,1709579700263,2024-03-04T19:15:00.263Z,9.347,8.008,8.67,3.79,8.822,0.68,8.603342185707136,8.31,8.724,8.724,,0.414,4.98,8.517,101705.3,875005.498,"{'symbol': 'ETHS_USDT', 'last_price': '8.724', 'quote_volume_24h': '875005.498', 'base_volume_24h': '101705.30', 'high_24h': '9.347', 'low_24h': '8.008', 'open_24h': '8.310', 'close_24h': '8.724', 'best_ask': '8.822', 'best_ask_size': '0.68', 'best_bid': '8.670', 'best_bid_size': '3.79', 'fluctuation': '+0.0498', 'url': 'https://www.bitmart.com/trade?symbol=ETHS_USDT', 'timestamp': '1709579700263'}"
PMG/USDT,PMG/USDT,1709578680495,2024-03-04T18:58:00.495Z,0.2888,0.0935,0.0981,1776.57,0.2879,104.67,0.14240955301388528,0.1181,0.0935,0.0935,,-0.0246,-20.83,0.1058,11831.24,1684.8816,"{'symbol': 'PMG_USDT', 'last_price': '0.0935', 'quote_volume_24h': '1684.8816', 'base_volume_24h': '11831.24', 'high_24h': '0.2888', 'low_24h': '0.0935', 'open_24h': '0.1181', 'close_24h': '0.0935', 'best_ask': '0.2879', 'best_ask_size': '104.67', 'best_bid': '0.0981', 'best_bid_size': '1776.57', 'fluctuation': '-0.2083', 'url': 'https://www.bitmart.com/trade?symbol=PMG_USDT', 'timestamp': '1709578680495'}"
BEPRO/USDT,BEPRO/USDT,1709579504761,2024-03-04T19:11:44.761Z,0.00111149,0.00097418,0.00106311,38577.0,0.00107062,10244.0,0.001024467363151917,0.00102901,0.00106592,0.00106592,,3.691e-05,3.59,0.001047465,114470804.0,117271.60273176,"{'symbol': 'BEPRO_USDT', 'last_price': '0.00106592', 'quote_volume_24h': '117271.60273176', 'base_volume_24h': '114470804', 'high_24h': '0.00111149', 'low_24h': '0.00097418', 'open_24h': '0.00102901', 'close_24h': '0.00106592', 'best_ask': '0.00107062', 'best_ask_size': '10244', 'best_bid': '0.00106311', 'best_bid_size': '38577', 'fluctuation': '+0.0359', 'url': 'https://www.bitmart.com/trade?symbol=BEPRO_USDT', 'timestamp': '1709579504761'}"
NEO/USDT,NEO/USDT,1709579690678,2024-03-04T19:14:50.678Z,19.1861,15.9498,17.8971,6.484,17.9329,6.356,17.77089586607917,16.2598,17.9202,17.9202,,1.6604,10.21,17.09,45697.924,812093.0487,"{'symbol': 'NEO_USDT', 'last_price': '17.9202', 'quote_volume_24h': '812093.0487', 'base_volume_24h': '45697.924', 'high_24h': '19.1861', 'low_24h': '15.9498', 'open_24h': '16.2598', 'close_24h': '17.9202', 'best_ask': '17.9329', 'best_ask_size': '6.356', 'best_bid': '17.8971', 'best_bid_size': '6.484', 'fluctuation': '+0.1021', 'url': 'https://www.bitmart.com/trade?symbol=NEO_USDT', 'timestamp': '1709579690678'}"
