,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
PRIMAL/USDT,PRIMAL/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.000639,0.000567,0.000584,,0.000587,,0.000606506756561642,,0.000584,0.000584,,,-1.18,,3345560.0565,2029.10477875,"{'date': 1709579778, 'vol': '3345560.0565', 'change': '-1.18', 'base_vol': '2029.10477875', 'sell': '0.000587', 'last': '0.000584', 'symbol': 'primal_usdt', 'low': '0.000567', 'buy': '0.000584', 'high': '0.000639'}"
SC_USDT,SC_USDT,1709579778000,2024-03-04T19:16:18.000Z,0.009831,0.009524,0.009605,,0.00966,,0.00967776145395021,,0.00966,0.00966,,,-0.99,,71187362.0,688934.307972,"{'date': 1709579778, 'vol': '71187362', 'change': '-0.99', 'base_vol': '688934.307972', 'sell': '0.00966', 'last': '0.00966', 'symbol': 'sc_usdt', 'low': '0.009524', 'buy': '0.009605', 'high': '0.009831'}"
ICR/USDT,ICR/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.002884,0.002842,0.002842,,0.002884,,0.002884,,0.002884,0.002884,,,1.48,,1218.0,3.512712,"{'date': 1709579778, 'vol': '1218', 'change': '1.48', 'base_vol': '3.512712', 'sell': '0.002884', 'last': '0.002884', 'symbol': 'icr_usdt', 'low': '0.002842', 'buy': '0.002842', 'high': '0.002884'}"
ALT/USDT,ALT/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.0348371,0.0316177,0.032853,,0.0329519,,0.032907753204547474,,0.0329519,0.0329519,,,-1.19,,199864.647,6577.09647779,"{'date': 1709579778, 'vol': '199864.647', 'change': '-1.19', 'base_vol': '6577.09647779', 'sell': '0.0329519', 'last': '0.0329519', 'symbol': 'alt_usdt', 'low': '0.0316177', 'buy': '0.032853', 'high': '0.0348371'}"
CADINU/USDT,CADINU/USDT,1709579778000,2024-03-04T19:16:18.000Z,2.524e-07,2.476e-07,2.496e-07,,2.525e-07,,2.49704287391e-07,,2.496e-07,2.496e-07,,,0.42,,365137461323.0,91176.38957969,"{'date': 1709579778, 'vol': '365137461323', 'change': '0.42', 'base_vol': '91176.38957969', 'sell': '2.525e-07', 'last': '2.496e-07', 'symbol': 'cadinu_usdt', 'low': '2.476e-07', 'buy': '2.496e-07', 'high': '2.524e-07'}"
BONK_USDT,BONK_USDT,1709579778000,2024-03-04T19:16:18.000Z,4.7322553e-05,2.4895311e-05,4.0936206e-05,,4.0974197e-05,,3.3635960582566e-05,,4.0965095e-05,4.0965095e-05,,,60.89,,108673301924.78,3655330.8999193,"{'date': 1709579778, 'vol': '108673301924.78', 'change': '60.89', 'base_vol': '3655330.8999193', 'sell': '4.0974197e-05', 'last': '4.0965095e-05', 'symbol': 'bonk_usdt', 'low': '2.4895311e-05', 'buy': '4.0936206e-05', 'high': '4.7322553e-05'}"
USP/USDT,USP/USDT,1709579778000,2024-03-04T19:16:18.000Z,3.1231,3.1099,3.1093,,3.1182,,3.119946021792678,,3.1182,3.1182,,,-0.05,,19129.4065,59682.71570893,"{'date': 1709579778, 'vol': '19129.4065', 'change': '-0.05', 'base_vol': '59682.71570893', 'sell': '3.1182', 'last': '3.1182', 'symbol': 'usp_usdt', 'low': '3.1099', 'buy': '3.1093', 'high': '3.1231'}"
FLR/USDT,FLR/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.045221,0.0403603,0.0415258,,0.0415642,,0.04306314967374658,,0.0415259,0.0415259,,,-7.57,,26450941.4,1139060.8485197,"{'date': 1709579778, 'vol': '26450941.4', 'change': '-7.57', 'base_vol': '1139060.8485197', 'sell': '0.0415642', 'last': '0.0415259', 'symbol': 'flr_usdt', 'low': '0.0403603', 'buy': '0.0415258', 'high': '0.045221'}"
CRU_USDT,CRU_USDT,1709579778000,2024-03-04T19:16:18.000Z,2.25685,1.980685,2.256519,,2.25685,,2.055005561546376,,2.25685,2.25685,,,7.0,,1682.6669,3457.88983773,"{'date': 1709579778, 'vol': '1682.6669', 'change': '7', 'base_vol': '3457.88983773', 'sell': '2.25685', 'last': '2.25685', 'symbol': 'cru_usdt', 'low': '1.980685', 'buy': '2.256519', 'high': '2.25685'}"
ABEL/USDT,ABEL/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.008092,0.008003,0.008004,,0.008313,,0.008005754871348263,,0.008004,0.008004,,,,,363423.0,2909.47545261,"{'date': 1709579778, 'vol': '363423', 'change': '0', 'base_vol': '2909.47545261', 'sell': '0.008313', 'last': '0.008004', 'symbol': 'abel_usdt', 'low': '0.008003', 'buy': '0.008004', 'high': '0.008092'}"
BONE/USDT,BONE/USDT,1709579778000,2024-03-04T19:16:18.000Z,0.7686,0.7686,1.1205,,1.1244,,,,0.7686,0.7686,,,,,0.0,0.0,"{'date': 1709579778, 'vol': '0', 'change': '0', 'base_vol': '0', 'sell': '1.1244', 'last': '0.7686', 'symbol': 'bone_usdt', 'low': '0.7686', 'buy': '1.1205', 'high': '0.7686'}"
