,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
GNTEUR,GNTEUR,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.000000', '0', '0.000'], 'b': ['0.000000', '0', '0.000'], 'c': ['0.000000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.000000', '0.000000'], 't': ['0', '0'], 'l': ['0.000000', '0.000000'], 'h': ['0.000000', '0.000000'], 'o': '0.000000'}"
GNTUSD,GNTUSD,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.000000', '0', '0.000'], 'b': ['0.000000', '0', '0.000'], 'c': ['0.000000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.000000', '0.000000'], 't': ['0', '0'], 'l': ['0.000000', '0.000000'], 'h': ['0.000000', '0.000000'], 'o': '0.000000'}"
GNTXBT,GNTXBT,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.000000000', '0', '0.000'], 'b': ['0.000000000', '0', '0.000'], 'c': ['0.000000000', '0.00000000'], 'v': ['0.00000000', '0.00000000'], 'p': ['0.000000000', '0.000000000'], 't': ['0', '0'], 'l': ['0.000000000', '0.000000000'], 'h': ['0.000000000', '0.000000000'], 'o': '0.000000000'}"
GOOEUR,GOOEUR,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.00000000', '0', '0.000'], 'b': ['0.00000000', '0', '0.000'], 'c': ['0.00000000', '0.00000'], 'v': ['0.00000', '0.00000'], 'p': ['0.00000000', '0.00000000'], 't': ['0', '0'], 'l': ['0.00000000', '0.00000000'], 'h': ['0.00000000', '0.00000000'], 'o': '0.00000000'}"
GOOUSD,GOOUSD,,,,,,,,,,,,,,,,,0.0,0.0,"{'a': ['0.00000000', '0', '0.000'], 'b': ['0.00000000', '0', '0.000'], 'c': ['0.00000000', '0.00000'], 'v': ['0.00000', '0.00000'], 'p': ['0.00000000', '0.00000000'], 't': ['0', '0'], 'l': ['0.00000000', '0.00000000'], 'h': ['0.00000000', '0.00000000'], 'o': '0.00000000'}"
GRT/EUR,GRT/EUR,,,0.30021,0.27699,0.28654,,0.2867,,0.2882252,0.29411,0.28555,0.28555,,-0.00856,-2.9104756723674816,0.28983,2287455.28989273,659302.2584203901,"{'a': ['0.2867000', '2571', '2571.000'], 'b': ['0.2865400', '3215', '3215.000'], 'c': ['0.2855500', '20.34712000'], 'v': ['2051956.77769430', '2287455.28989273'], 'p': ['0.2872631', '0.2882252'], 't': ['1549', '1813'], 'l': ['0.2769900', '0.2769900'], 'h': ['0.2978300', '0.3002100'], 'o': '0.2941100'}"
GRT/GBP,GRT/GBP,,,0.25521,0.23721,0.24519,,0.24547,,0.2470484,0.2506,0.24409,0.24409,,-0.00651,-2.5977653631284916,0.247345,96594.8347107,23863.599363542897,"{'a': ['0.2454700', '2000', '2000.000'], 'b': ['0.2451900', '3214', '3214.000'], 'c': ['0.2440900', '502.96649815'], 'v': ['86019.94851246', '96594.83471070'], 'p': ['0.2462159', '0.2470484'], 't': ['105', '121'], 'l': ['0.2372100', '0.2372100'], 'h': ['0.2545200', '0.2552100'], 'o': '0.2506000'}"
GRT/USD,GRT/USD,,,0.32541,0.30059,0.31123,,0.31124,,0.3126243,0.32058,0.31124,0.31124,,-0.00934,-2.913469336827001,0.31591,3617129.46654853,1130802.5674891076,"{'a': ['0.3112400', '1051', '1051.000'], 'b': ['0.3112300', '414', '414.000'], 'c': ['0.3112400', '29.00000000'], 'v': ['3160117.46267960', '3617129.46654853'], 'p': ['0.3112366', '0.3126243'], 't': ['2367', '2673'], 'l': ['0.3005900', '0.3005900'], 'h': ['0.3228500', '0.3254100'], 'o': '0.3205800'}"
GRT/BTC,GRT/BTC,,,5.18e-06,4.49e-06,4.68e-06,,4.69e-06,,4.756e-06,5.06e-06,4.66e-06,4.66e-06,,-4e-07,-7.905138339920948,4.86e-06,555228.73993706,2.6406678871406575,"{'a': ['0.000004690', '16065', '16065.000'], 'b': ['0.000004680', '13316', '13316.000'], 'c': ['0.000004660', '77.82620766'], 'v': ['533265.77940337', '555228.73993706'], 'p': ['0.000004742', '0.000004756'], 't': ['358', '390'], 'l': ['0.000004490', '0.000004490'], 'h': ['0.000005060', '0.000005180'], 'o': '0.000005060'}"
GST/EUR,GST/EUR,,,0.028,0.017,0.02,,0.021,,0.02169,0.019,0.021,0.021,,0.002,10.526315789473685,0.02,5391024.6281863,116931.32418536085,"{'a': ['0.02100', '8197', '8197.000'], 'b': ['0.02000', '11124', '11124.000'], 'c': ['0.02100', '2195.87176000'], 'v': ['3748263.39157432', '5391024.62818630'], 'p': ['0.02235', '0.02169'], 't': ['621', '828'], 'l': ['0.01700', '0.01700'], 'h': ['0.02800', '0.02800'], 'o': '0.01900'}"
